Time,,,altitude_m,airspeed_kph,G-FORCE,,,Heartrate,Respiration,time
0,0,-67,38969,7,1.0,-0.1,0.1,181,30,-0.067
0,0,200,38968,13,1.0,-0.1,0.1,179,30,0.200
0,0,533,38966,22,1.0,-0.1,0.1,176,30,0.533
0,0,667,38965,25,1.0,-0.1,0.1,174,30,0.667
0,1,67,38962,36,0.0,0.0,0.0,173,30,1.067
0,1,434,38956,49,0.0,0.0,0.0,176,30,1.434
0,1,568,38954,54,0.0,0.0,0.0,178,30,1.568
0,1,768,38951,61,0.0,0.0,0.0,180,30,1.768
0,2,68,38945,72,0.0,0.0,0.0,181,30,2.068
0,2,235,38941,77,0.0,0.0,0.0,180,30,2.235
0,4,836,38850,171,0.0,0.0,0.0,179,30,4.836
0,4,904,38847,174,0.0,0.0,0.0,179,30,4.904
0,4,938,38845,175,0.0,0.0,0.0,179,30,4.938
0,5,338,38825,188,0.0,0.0,0.0,179,30,5.338
0,5,809,38794,209,0.0,0.0,0.0,179,30,5.809
0,6,298,38769,222,0.0,0.0,0.0,178,31,6.298
0,6,538,38756,229,0.0,0.0,0.0,177,31,6.538
0,6,673,38747,234,0.0,0.0,0.0,177,31,6.673
0,7,240,38739,253,0.0,0.0,0.0,175,31,7.240
0,7,707,38674,270,0.0,0.0,0.0,175,31,7.707
0,7,874,38655,279,0.0,0.0,0.0,175,31,7.874
0,8,74,38646,283,0.0,0.0,0.0,174,31,8.074
0,8,475,38612,297,0.0,0.0,0.0,170,31,8.475
0,8,808,38583,309,0.0,0.0,0.0,165,31,8.808
0,9,242,38545,325,0.0,0.0,0.0,166,31,9.242
0,9,676,38505,341,0.0,0.0,0.0,170,31,9.676
0,9,843,38490,347,0.0,0.0,0.0,172,31,9.843
0,10,43,38470,354,0.0,0.0,0.0,173,31,10.043
0,10,377,38436,395,0.0,0.0,0.0,172,31,10.377
0,10,810,38391,380,0.0,0.0,0.0,173,31,10.810
0,11,44,38366,388,0.0,0.0,0.0,173,31,11.044
0,11,478,38317,404,0.0,0.0,0.0,171,31,11.478
0,11,811,38280,416,0.0,0.0,0.0,170,31,11.811
0,12,112,38242,427,0.0,0.0,0.0,169,31,12.112
0,12,479,38191,440,0.0,0.0,0.0,168,31,12.479
0,12,712,38159,449,0.0,0.0,0.0,168,31,12.712
0,13,13,38118,459,0.0,0.0,0.0,167,31,13.013
0,13,580,38045,479,0.0,0.0,0.0,167,31,13.580
0,13,813,38015,488,0.0,0.0,0.0,167,31,13.813
0,14,114,37976,498,0.0,0.0,0.0,167,31,14.114
0,14,514,37922,511,0.0,0.0,0.0,167,31,14.514
0,14,848,37877,521,0.0,0.0,0.0,167,31,14.848
0,15,382,37793,541,0.0,0.0,0.0,165,31,15.382
0,15,649,37748,551,0.0,0.0,0.0,163,31,15.649
0,15,982,37693,564,0.0,0.0,0.0,161,31,15.982
0,16,216,37655,573,0.0,0.0,0.0,162,31,16.216
0,16,516,37605,583,0.0,0.0,0.0,164,31,16.516
0,16,883,37545,596,0.0,0.0,0.0,167,31,16.883
0,17,150,37500,606,0.0,0.0,0.0,165,31,17.150
0,17,417,37454,615,0.0,0.0,0.0,162,31,17.417
0,17,884,37374,632,0.0,0.0,0.0,156,31,17.884
0,18,218,37318,643,0.0,0.0,0.0,158,31,18.218
0,18,518,37268,652,0.0,0.0,0.0,160,31,18.518
0,18,818,37217,662,0.0,0.0,0.0,162,31,18.818
0,19,185,37148,675,0.0,0.0,0.0,163,31,19.185
0,19,452,37094,684,0.0,0.0,0.0,163,31,19.452
0,19,819,37020,697,0.0,0.0,0.0,162,31,19.819
0,20,186,36948,709,0.0,0.0,0.0,162,31,20.186
0,20,420,36902,717,0.0,0.0,0.0,162,31,20.420
0,20,820,36824,730,0.0,0.0,0.0,163,31,20.820
0,21,121,36763,740,0.0,0.0,0.0,163,31,21.121
0,21,354,36715,749,0.0,0.0,0.0,163,31,21.354
0,21,454,36694,752,0.0,0.0,0.0,163,31,21.454
0,21,621,36659,759,0.0,0.0,0.0,163,31,21.621
0,21,888,36604,768,0.0,0.0,0.0,163,31,21.888
0,22,222,36530,779,0.0,0.0,0.0,163,31,22.222
0,22,489,36470,787,0.0,0.0,0.0,163,31,22.489
0,22,756,36409,794,0.0,0.0,0.0,163,31,22.756
0,22,989,36357,801,0.0,0.0,0.0,163,31,22.989
0,23,223,36304,805,0.0,0.0,0.0,163,31,23.223
0,23,556,36229,812,0.0,0.0,0.0,163,31,23.556
0,23,890,36153,818,0.0,0.0,0.0,163,31,23.890
0,24,190,36082,828,0.0,0.0,0.0,164,31,24.190
0,24,391,36034,835,0.0,0.0,0.0,165,31,24.391
0,24,658,35969,844,0.0,0.0,0.0,166,31,24.658
0,24,925,35905,854,0.0,0.0,0.0,167,31,24.925
0,25,225,35836,862,0.0,0.0,0.0,166,31,25.225
0,25,425,35790,867,0.0,0.0,0.0,164,31,25.425
0,25,692,35729,874,0.0,0.0,0.0,162,31,25.692
0,25,992,35659,882,0.1,0.0,0.0,160,31,25.992
0,26,92,35633,885,0.1,0.0,0.0,160,31,26.092
0,26,326,35573,892,0.1,0,0,160,31,26.326
0,26,526,35522,899,0.1,0,0,160,31,26.526
0,26,726,35471,905,,0,0,160,31,26.726
0,26,960,35411,913,,,,160,31,26.960
0,27,160,35358,919,0,,,160,31,27.160
0,27,394,35297,925,0.1,0.1,0,160,31,27.394
0,27,594,35244,931,0.1,0.1,0,160,31,27.594
0,27,761,35201,936,0.1,0.1,0,160,31,27.761
0,27,928,35157,941,0.1,0.1,0,160,31,27.928
0,28,161,35109,948,0.1,0,0,162,31,28.161
0,28,328,35077,952,0.1,0,0,164,31,28.328
0,28,528,35039,958,0.1,0,0,166,31,28.528
0,28,762,34994,965,0.1,0,0,168,31,28.762
0,28,962,34955,971,0.1,0,0,169,31,28.962
0,29,162,34885,977,0.1,0,0,168,31,29.162
0,29,362,34814,982,0.1,0,0,167,31,29.362
0,29,529,34755,987,0.1,0,0,166,31,29.529
0,29,896,34625,998,0.1,0,0,164,31,29.896
0,30,163,34544,1006,0.1,-0.1,0,164,31,30.163
0,30,297,34506,1011,0.1,-0.1,0,164,31,30.297
0,30,330,34497,1012,0.1,-0.1,0,164,31,30.33
0,30,430,34468,1015,0.1,-0.1,0,164,31,30.430
0,30,563,34431,1019,0.1,-0.1,0,165,31,30.563
0,30,630,34412,1021,0.1,-0.1,0,165,31,30.630
0,30,764,34374,1026,0.1,-0.1,0,165,31,30.764
0,30,864,34345,1029,0.1,0.0,0.0,165,31,30.864
0,30,931,34326,1031,0.1,-0.1,0.0,165,31,30.931
0,30,964,34317,1032,0.1,-0.1,0.0,165,31,30.964
0,30,997,34307,1033,0.1,0.0,0.0,165,31,30.997
0,31,31,34298,1034,0.1,0.0,0.0,166,31,31.031
0,31,64,34289,1035,0.1,0.0,0.0,166,31,31.064
0,31,97,34279,1035,0.1,0.0,0.0,166,31,31.097
0,31,131,34270,1037,0.1,0.0,0.0,166,31,31.131
0,31,231,34241,1040,0.1,0.0,0.0,166,31,31.231
0,31,331,34213,1043,0.1,0.0,0.0,166,31,31.331
0,31,431,34184,1046,0.1,0.0,0.0,166,31,31.431
0,31,531,34156,1048,0.1,0.0,0.0,167,31,31.531
0,31,631,34128,1051,0.1,0.0,0.0,167,31,31.631
0,31,731,34099,1054,0.1,0.0,0.0,167,31,31.731
0,31,831,34071,1057,0.1,0.0,0.0,167,31,31.831
0,31,932,34042,1060,0.1,0.0,0.0,167,31,31.932
0,32,32,34012,1064,0.1,0.0,0.0,167,31,32.032
0,32,132,33981,1068,0.1,0.0,0.0,167,31,32.132
0,32,232,33950,1072,0.1,0.0,0.0,166,31,32.232
0,32,332,33919,1076,0.1,0.0,0.0,166,31,32.332
0,32,432,33888,1081,0.1,0.0,0.0,166,31,32.432
0,32,532,33858,1085,0.1,0.0,0.0,165,31,32.532
0,32,632,33827,1089,0.1,0.0,0.0,165,31,32.632
0,32,732,33796,1093,0.1,0.0,0.0,164,31,32.732
0,32,866,33755,1099,0.1,0.0,0.0,164,31,32.866
0,32,899,33745,1100,0.1,0.0,0.0,164,31,32.899
0,32,999,33714,1104,0.2,0,-0.1,164,31,32.999
0,33,33,33703,1104,0.2,0.0,-0.1,164,31,33.033
0,33,133,33672,1106,0.2,0.0,-0.1,165,31,33.133
0,33,233,33640,1108,0.2,0.0,-0.1,165,31,33.233
0,33,333,33609,1111,0.2,0.0,-0.1,166,31,33.333
0,33,433,33577,1113,0.2,0.0,-0.1,167,31,33.433
0,33,500,33556,1110,0.2,0.0,-0.1,167,31,33.500
0,33,633,33514,1117,0.2,0.0,-0.1,168,31,33.633
0,33,733,33483,1119,0.2,0.0,-0.1,169,31,33.733
